id,name,carrier,state,tier,brand_or_generic,created_at,updated_at
3854,Cefaclor,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3855,Cefdinir,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3856,Cefadroxil,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3857,Cefditoren,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3858,Cefprozil,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3859,Ceftibuten,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3860,Cefuroxime,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3861,Cefpodoxamine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3862,Cephalexin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3863,Cephradine,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3864,Azithromycin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3865,Clarithromycin XL,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3866,Erythromycin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3867,Erythromycin/Sulfisoxazole,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3868,Amoxicillin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3869,Amoxicillin/Clavulanate,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3870,Ampicillin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3871,Dicloxacillin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3872,Penicillin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3873,Ciprofloxacin/XR,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3874,Levofloxacin,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3875,Erythromycin/Sulfisoxazole,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3876,Sulfamethoxazole/Trimethoprim,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3877,Sulfisoxazole,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
3878,Doxycycline hyclate,Anthem Blue Cross,CA,generic,generic,2014-10-09T23:34:34-07:00,2014-10-09T23:34:34-07:00
